TITLE;CHILDREN;PERS_H;AGE;TMADD;TMJOB1;TEL;NMBLOAN;FINLOAN;INCOME;EC_CARD;INC;INC1;STATUS;BUREAU;LOCATION;LOANS;REGN;DIV;CASH;PRODUCT;RESID;NAT;PROF;CAR;CARDS;GB
R;0;2;46;1500;3300;200;0;0;0;100;0;100;V;300;100;0;0;0;200000;Radio, TV, Hifi;Lease;German;Others;Car;Cheque card;0
R;0;1;39;19200;600;100;0;0;150000;0;250000;200;W;100;100;1;0;0;250000;Furniture,Carpet;Lease;German;Others;Without Vehicle;no credit cards;1
H;3;5;32;4800;10800;200;200;100;0;100;0;100;V;100;100;1;0;0;250000;Furniture,Carpet;Lease;German;Civil Service, M;Car;Cheque card;0
R;0;2;42;14400;3000;200;0;0;190000;0;250000;200;V;300;100;0;0;0;900000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;0
R;0;1;20;24000;900;200;0;0;0;100;0;100;U;300;100;0;0;0;400000;Furniture,Carpet;Lease;German;Civil Service, M;Without Vehicle;Cheque card;0
H;1;2;44;10800;4200;200;0;100;0;100;0;100;G;100;100;2;0;0;80000;Radio, TV, Hifi;Lease;German;Civil Service, M;Car;Cheque card;0
H;0;1;23;3600;1200;200;0;0;190000;0;250000;200;U;100;100;1;0;0;60000;Dept. Store,Mail;Lease;German;Others;Car;no credit cards;1
H;1;3;44;6600;6600;200;0;0;0;100;0;100;V;300;100;0;0;0;600000;Furniture,Carpet;Lease;German;Self-employed pe;Car;Cheque card;1
H;6;8;36;3000;1200;200;200;100;350000;0;1000000;400;V;300;100;0;0;0;100000;Dept. Store,Mail;Lease;German;Others;Car;no credit cards;0
R;0;1;54;900;10800;200;0;0;170000;0;250000;200;G;300;100;0;0;0;80000;Dept. Store,Mail;;German;Civil Service, M;Without Vehicle;no credit cards;0
H;0;1;29;2100;14400;100;0;0;230000;0;250000;200;U;300;100;0;0;0;250000;Radio, TV, Hifi;Lease;German;Civil Service, M;Without Vehicle;no credit cards;1
H;2;4;39;10800;3000;200;0;0;300000;0;1000000;400;V;100;100;1;0;0;500000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;1
H;2;4;38;6000;4800;100;0;100;0;100;0;100;V;300;100;0;0;0;100000;Dept. Store,Mail;Lease;German;Food,Building,Ca;Car;Cheque card;0
R;0;2;35;7200;1800;100;0;0;0;100;0;100;V;300;100;0;0;0;140000;Dept. Store,Mail;Lease;German;Others;Without Vehicle;Cheque card;0
H;0;1;20;24000;900;200;0;0;270000;0;1000000;400;U;300;100;0;0;0;80000;Dept. Store,Mail;Lease;German;Others;Car;no credit cards;1
H;0;1;24;8400;2400;100;200;100;0;100;0;100;U;100;100;1;0;0;120000;Furniture,Carpet;Lease;German;Others;Car;Cheque card;0
R;0;1;46;14400;3000;100;0;0;150000;0;250000;200;G;300;100;0;0;0;90000;Radio, TV, Hifi;Lease;German;Others;Without Vehicle;no credit cards;1
R;5;7;39;10800;5400;100;0;100;0;100;0;100;V;300;100;0;0;0;140000;Furniture,Carpet;Lease;German;Chemical Industr;Car;Cheque card;1
H;4;5;35;6000;1200;100;0;0;0;100;0;100;G;100;100;2;0;0;100000;Dept. Store,Mail;Lease;German;Others;Car;Cheque card;0
H;0;2;30;4200;16800;100;0;100;300000;0;1000000;400;V;300;100;0;0;0;160000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;1
R;1;3;25;3000;3000;200;0;0;0;100;0;100;V;300;100;0;0;0;50000;Dept. Store,Mail;Lease;German;Others;Car;Cheque card;0
H;0;1;22;26400;6600;200;0;0;180000;0;250000;200;U;100;100;1;0;0;90000;Radio, TV, Hifi;Lease;German;Others;Car;no credit cards;1
H;1;3;55;4800;4800;100;0;100;330000;0;1000000;400;V;100;100;1;0;0;170000;Dept. Store,Mail;Lease;German;Food,Building,Ca;Car;no credit cards;1
H;1;3;30;5400;16800;200;0;0;0;100;0;100;V;300;100;0;0;0;250000;Radio, TV, Hifi;Lease;German;Others;Car;Cheque card;0
H;0;1;24;28800;1800;200;0;0;260000;0;1000000;400;U;300;100;0;0;0;300000;Cars;Lease;German;Others;Car;no credit cards;0
R;0;1;66;26400;6600;200;0;0;0;100;0;100;W;300;100;0;0;0;60000;Dept. Store,Mail;Lease;German;Pensioner;Without Vehicle;Cheque card;0
H;0;2;51;21600;6000;200;200;0;0;100;0;100;V;100;100;2;0;0;250000;Furniture,Carpet;Lease;German;Civil Service, M;Car;Cheque card;0
H;0;2;38;99900;3000;100;0;100;210000;0;250000;200;V;100;100;2;0;0;300000;Furniture,Carpet;Lease;German;Others;Car;no credit cards;1
H;2;3;41;1800;3300;100;100;100;0;100;0;100;U;100;100;3;0;0;60000;Cars;Lease;German;Civil Service, M;Car;Cheque card;1
H;2;4;41;12000;24000;200;0;0;0;0;0;0;V;300;100;0;0;0;150000;Furniture,Carpet;Lease;German;Others;Car;Mastercard/Euroc;0
