TITLE,CHILDREN,PERS_H,AGE,TMADD,TMJOB1,TEL,NMBLOAN,FINLOAN,INCOME,EC_CARD,INC,INC1,STATUS,BUREAU,LOCATION,LOANS,REGN,DIV,CASH,PRODUCT,RESID,NAT,PROF,CAR,CARDS
H,0,1,24,6.00,18.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,U,3.00,1.00,0,0,0.00,500.00,"Dept. Store,Mail",Lease,East Germany,Others,Car,Cheque card
H,1,2,35,84.00,54.00,1.00,0.00,0.00,2500.00,0.00,2500.00,2.00,U,2.00,1.00,0,3,1.00,1700.00,"Furniture,Carpet",Lease,East Germany,"Food,Building,Ca",Without Vehicle,no credit cards
H,1,3,26,36.00,108.00,2.00,0.00,1.00,2600.00,0.00,100000.0,4.00,V,1.00,1.00,2,0,0.00,900.00,"Radio, TV, Hifi",Owner,East Germany,Others,Car,no credit cards
R,2,3,35,168.00,15.00,1.00,0.00,0.00,1600.00,0.00,2500.00,2.00,G,3.00,1.00,0,0,0.00,1200.00,"Radio, TV, Hifi",,East Germany,Others,Without Vehicle,no credit cards
R,0,1,20,240.00,9.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,U,3.00,1.00,0,0,0.00,4000.00,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,Cheque card
R,2,4,29,30.00,9.00,2.00,2.00,0.00,1700.00,0.00,2500.00,2.00,V,3.00,1.00,0,0,0.00,2000.00,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,no credit cards
H,4,6,32,18.00,6.00,1.00,0.00,0.00,2700.00,0.00,100000.0,4.00,V,3.00,1.00,0,0,0.00,20000.00,Cars,Owner,East Germany,Others,Car,no credit cards
R,0,1,18,3.00,6.00,1.00,0.00,0.00,1500.00,0.00,2500.00,2.00,U,3.00,1.00,0,0,0.00,600.00,"Dept. Store,Mail",,East Germany,Others,Without Vehicle,no credit cards
H,0,1,20,24.00,3.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,U,1.00,1.00,1,0,0.00,800.00,Cars,Lease,East Germany,Others,Car,Cheque card
R,1,3,40,120.00,33.00,2.00,0.00,1.00,2000.00,0.00,2500.00,2.00,V,1.00,1.00,3,3,1.00,1000.00,Cars,Lease,East Germany,Others,Car,no credit cards
H,2,4,30,48.00,0.00,2.00,0.00,0.00,1000.00,0.00,2500.00,2.00,V,3.00,0.00,0,0,0.00,8000.00,Cars,Lease,East Germany,Others,Car,no credit cards
H,2,3,34,3.00,33.00,1.00,2.00,1.00,0.00,1.00,0.00,1.00,G,1.00,1.00,1,0,0.00,1100.00,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
H,0,2,65,168.00,9.00,2.00,1.00,1.00,1800.00,0.00,2500.00,2.00,V,3.00,1.00,0,0,0.00,1400.00,"Dept. Store,Mail",,East Germany,Pensioner,Car,no credit cards
H,0,1,21,9.00,9.00,2.00,0.00,0.00,1800.00,0.00,2500.00,2.00,U,3.00,1.00,0,0,0.00,800.00,"Radio, TV, Hifi",Lease,East Germany,Others,Car,no credit cards
R,2,4,32,30.00,54.00,2.00,0.00,0.00,1000.00,0.00,2500.00,2.00,V,1.00,1.00,1,0,0.00,1300.00,"Radio, TV, Hifi",Lease,East Germany,Others,Car,no credit cards
H,0,1,21,264.00,24.00,1.00,0.00,0.00,1800.00,0.00,2500.00,2.00,U,3.00,1.00,0,0,0.00,5000.00,"Radio, TV, Hifi",Lease,East Germany,Others,Car,no credit cards
H,0,1,23,12.00,84.00,1.00,0.00,0.00,1500.00,0.00,2500.00,2.00,U,3.00,1.00,0,0,0.00,500.00,"Dept. Store,Mail",Lease,East Germany,"Food,Building,Ca",Without Vehicle,no credit cards
H,0,2,23,3.00,18.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,E,3.00,1.00,0,0,0.00,2500.00,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
R,0,2,35,84.00,144.00,1.00,0.00,0.00,1500.00,0.00,2500.00,2.00,V,1.00,1.00,4,0,0.00,4000.00,"Furniture,Carpet",Owner,East Germany,Others,Car,no credit cards
H,0,1,23,12.00,24.00,1.00,0.00,0.00,2200.00,0.00,2500.00,2.00,U,1.00,1.00,3,0,0.00,4000.00,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
H,0,1,28,66.00,144.00,1.00,0.00,0.00,1500.00,0.00,2500.00,2.00,U,2.00,1.00,3,0,0.00,1200.00,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,no credit cards
H,2,4,41,144.00,30.00,1.00,2.00,0.00,2500.00,0.00,2500.00,2.00,V,1.00,1.00,3,3,1.00,10000.00,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
R,0,1,19,3.00,18.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,U,3.00,1.00,0,0,0.00,1000.00,"Radio, TV, Hifi",Lease,East Germany,Others,Car,Cheque card
H,2,4,30,108.00,60.00,2.00,0.00,1.00,2400.00,0.00,2500.00,2.00,V,1.00,1.00,2,0,0.00,500.00,Cars,Lease,East Germany,"Civil Service, M",Car,no credit cards
R,0,2,27,30.00,84.00,1.00,0.00,0.00,2000.00,0.00,2500.00,2.00,V,3.00,1.00,0,0,0.00,2500.00,Leisure,Lease,East Germany,"Civil Service, M",Without Vehicle,no credit cards
H,2,3,28,21.00,6.00,1.00,0.00,0.00,1700.00,0.00,2500.00,2.00,U,1.00,1.00,1,0,0.00,1300.00,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
R,0,1,22,264.00,15.00,1.00,0.00,0.00,1500.00,0.00,2500.00,2.00,U,3.00,1.00,0,0,0.00,5000.00,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
H,0,1,26,18.00,144.00,2.00,0.00,1.00,2400.00,0.00,2500.00,2.00,U,1.00,1.00,2,2,1.00,1000.00,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
R,1,2,22,9.00,84.00,1.00,0.00,0.00,2000.00,0.00,2500.00,2.00,U,3.00,1.00,0,0,0.00,1800.00,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
H,0,2,57,288.00,60.00,2.00,0.00,1.00,1900.00,0.00,2500.00,2.00,V,1.00,1.00,1,0,0.00,1100.00,"Furniture,Carpet",Lease,East Germany,Pensioner,Car,no credit cards
